n_features,test_rmse,execution_time
1,23.38,3.96
2,17.94,3.42
3,15.72,3.50
4,13.33,4.04
5,12.12,3.54
6,11.58,4.22
7,10.66,3.69
8,10.78,4.54
9,10.76,4.01
10,10.65,3.92
11,10.55,4.41
12,10.17,4.06
13,10.08,3.92
14,10.10,4.02
15,10.19,4.05
16,10.14,4.00
17,10.11,4.03
18,10.05,4.08
19,10.14,4.06
20,10.06,4.17
21,10.10,4.07
22,9.93,4.15
23,10.00,4.19
24,9.95,4.17
25,10.03,4.20
26,9.92,4.29
27,9.97,4.34
28,10.02,4.35
29,10.03,4.40
30,9.85,4.44
31,9.87,4.46
32,9.82,4.48
33,9.86,4.48
34,9.83,4.67
35,9.77,4.61
36,9.76,4.64
37,9.72,4.66
38,9.69,4.74
39,9.71,4.78
40,9.71,4.80
41,9.63,4.79
42,9.53,4.84
43,9.52,4.94
44,9.55,4.89
45,9.51,4.94
46,9.54,4.99
47,9.55,5.00
48,9.55,5.01
49,9.37,5.19
50,9.36,5.08
51,9.29,5.15
52,9.27,5.33
53,9.30,5.14
54,9.32,5.23
55,9.36,5.21
56,9.30,5.20
57,9.35,5.23
58,9.35,5.24
59,9.34,5.31
60,9.30,5.31
61,9.34,5.36
62,9.35,5.41
63,9.37,5.37
64,9.32,5.38
65,9.33,5.49
66,9.26,5.50
67,9.28,5.53
68,9.28,5.54
69,9.28,5.57
70,9.33,5.65
71,9.29,5.63
72,9.38,5.71
73,9.27,5.70
74,9.24,5.71
75,9.28,5.76
76,9.22,5.79
77,9.26,5.79
78,9.21,5.90
79,9.24,5.93
80,9.28,5.86
